year,month,location,wholesale_price,retail_price
2017,5,Kaluthara,59.0,110.0
2017,5,Batticaloa,29.5,55.0
2017,5,Meegoda,60.2,120.8
2017,5,Badulla,71.0,123.2
2017,5,Hambanthota,51.6,85.87
2017,5,Monaragala,82.78,133.33
2017,5,Colombo,60.83,132.69
2017,5,Veyangoda,,
2017,5,Anuradapuraya,56.64,105.6
2017,6,Keppetipola,,
2017,6,Kurunegala,41.56,103.0
2017,6,Ampara,32.58,80.75
2017,6,Matale,,
2017,6,Vavuniya,,
2017,6,Mannar,,
2017,6,Trinco,,
2017,6,Matara,65.0,120.0
2017,6,Bandarawela,,
2017,6,Dehiattakandiya,27.43,68.0
2017,6,Nikaweratiya,27.49,68.13
2017,6,Embilipitiya,34.15,84.64
2017,6,Dabulla,20.75,77.5
2017,6,Hanguranketha,41.06,58.88
2017,6,Galle,49.93,123.75
2017,6,Thabuththegama,22.3,68.13
2017,6,Thissamaharama,,
2017,6,Kandy,36.2,60.0
2017,6,Polonnaruwa,21.79,54.0
2017,6,Galenbidunuwewa,,
2017,6,Kilinochchi,,
2017,6,Kegalle,31.07,77.0
2017,6,Nuwara Eliya,20.0,70.0
2017,6,Rathnapura,,
2017,6,Mullathivu,24.21,60.0
2017,6,Jaffna,,
2017,6,Puttalam,27.9,104.0
2017,6,Gampaha,44.38,110.0
2017,6,Kaluthara,30.93,76.67
2017,6,Batticaloa,20.98,52.0
2017,6,Meegoda,34.75,92.0
2017,6,Badulla,49.5,108.0
2017,6,Hambanthota,40.5,68.0
2017,6,Monaragala,55.0,88.33
2017,6,Colombo,44.79,119.75
2017,6,Veyangoda,,
2017,6,Anuradapuraya,33.89,84.0
2017,7,Keppetipola,,
2017,7,Kurunegala,29.05,84.8
2017,7,Ampara,25.48,74.4
2017,7,Matale,,
2017,7,Vavuniya,37.0,70.0
2017,7,Mannar,21.12,61.67
2017,7,Trinco,28.54,83.33
2017,7,Bandarawela,,
2017,7,Dehiattakandiya,,
2017,7,Nikaweratiya,19.48,56.88
2017,7,Embilipitiya,22.51,65.71
2017,7,Dabulla,16.28,60.8
2017,7,Hanguranketha,41.4,74.1
2017,7,Galle,33.74,98.5
2017,7,Thabuththegama,12.88,44.25
2017,7,Thissamaharama,,
2017,7,Kandy,29.72,52.0
2017,7,Polonnaruwa,20.38,59.5
2017,7,Galenbidunuwewa,,
2017,7,Kilinochchi,,
2017,7,Kegalle,22.61,66.0
2017,7,Nuwara Eliya,25.96,62.0
2017,7,Rathnapura,,
2017,7,Mullathivu,,
2017,7,Jaffna,,
2017,7,Puttalam,11.65,78.0
2017,7,Gampaha,31.51,92.0
2017,7,Kaluthara,27.63,80.67
2017,7,Batticaloa,17.81,52.0
2017,7,Meegoda,25.8,77.6
2017,7,Badulla,42.0,94.0
2017,7,Hambanthota,32.4,57.6
2017,7,Monaragala,31.42,62.5
2017,7,Colombo,21.75,94.3
2017,7,Veyangoda,,
2017,7,Anuradapuraya,24.66,72.0
2017,8,Keppetipola,32.33,69.33
2017,8,Kurunegala,35.44,76.0
2017,8,Ampara,31.25,67.0
2017,8,Matale,,
2017,8,Vavuniya,38.58,90.5
2017,8,Mannar,27.98,60.0
2017,8,Trinco,,
2017,8,Matara,40.56,68.33
2017,8,Bandarawela,,
2017,8,Dehiattakandiya,,
2017,8,Nikaweratiya,29.44,63.13
2017,8,Embilipitiya,21.32,45.71
2017,8,Dabulla,24.4,56.0
2017,8,Hanguranketha,41.44,59.44
2017,8,Galle,45.08,96.67
2017,8,Thabuththegama,20.65,43.44
2017,8,Thissamaharama,28.33,43.67
2017,8,Kandy,35.75,74.5
2017,8,Polonnaruwa,23.67,50.75
2017,8,Galenbidunuwewa,,
2017,8,Kilinochchi,,
2017,8,Kegalle,31.71,68.0
2017,8,Nuwara Eliya,28.25,64.0
2017,8,Rathnapura,44.17,62.0
2017,8,Mullathivu,,
2017,8,Jaffna,,
2017,8,Puttalam,25.15,78.67
2017,8,Gampaha,34.05,73.0
2017,8,Kaluthara,36.53,78.33
2017,8,Batticaloa,24.25,52.0
2017,8,Meegoda,33.05,77.5
2017,8,Badulla,35.5,94.0
2017,8,Hambanthota,24.5,42.5
2017,8,Monaragala,40.0,75.21
2017,8,Colombo,27.74,90.69
2017,8,Veyangoda,,
2017,8,Anuradapuraya,32.65,70.0
2017,9,Keppetipola,41.25,74.92
2017,9,Kurunegala,47.07,85.5
2017,9,Ampara,55.6,101.0
2017,9,Matale,,
2017,9,Vavuniya,68.39,89.33
2017,9,Mannar,,
2017,9,Trinco,,
2017,9,Matara,41.67,73.0
2017,9,Bandarawela,,
2017,9,Dehiattakandiya,,
2017,9,Nikaweratiya,43.7,79.38
2017,9,Embilipitiya,30.21,54.88
2017,9,Dabulla,35.65,73.0
2017,9,Hanguranketha,56.02,81.13
2017,9,Galle,49.55,90.0
2017,9,Thabuththegama,34.5,62.5
2017,9,Thissamaharama,44.3,60.69
2017,9,Kandy,45.25,81.5
2017,9,Polonnaruwa,37.99,69.0
2017,9,Galenbidunuwewa,,
2017,9,Kilinochchi,,
2017,9,Kegalle,44.87,81.5
2017,9,Nuwara Eliya,35.5,69.0
2017,9,Rathnapura,50.0,62.0
2017,9,Mullathivu,,
2017,9,Jaffna,,
2017,9,Puttalam,32.35,91.0
2017,9,Gampaha,47.9,87.0
2017,9,Kaluthara,43.16,78.39
2017,9,Batticaloa,28.63,52.0
2017,9,Meegoda,46.0,92.0
2017,9,Badulla,48.25,104.0
2017,9,Hambanthota,37.5,51.0
2017,9,Monaragala,56.67,95.0
2017,9,Colombo,41.67,105.05
2017,9,Veyangoda,,
2017,9,Anuradapuraya,42.57,77.33
2017,10,Keppetipola,41.85,81.6
2017,10,Kurunegala,52.32,102.0
2017,10,Ampara,40.21,78.4
2017,10,Matale,,
2017,10,Vavuniya,68.63,95.33
2017,10,Mannar,32.48,63.33
2017,10,Trinco,,
2017,10,Matara,45.67,73.0
2017,10,Bandarawela,,
2017,10,Dehiattakandiya,,
2017,10,Nikaweratiya,,
2017,10,Embilipitiya,40.52,79.0
2017,10,Dabulla,30.18,70.2
2017,10,Hanguranketha,60.15,83.8
2017,10,Galle,53.34,104.0
2017,10,Thabuththegama,29.48,62.0
2017,10,Thissamaharama,37.4,58.0
2017,10,Kandy,40.12,88.0
2017,10,Polonnaruwa,38.57,75.2
2017,10,Galenbidunuwewa,,
2017,10,Kilinochchi,,
2017,10,Kegalle,44.11,86.0
2017,10,Nuwara Eliya,42.0,77.2
2017,10,Rathnapura,56.8,71.6
2017,10,Mullathivu,,
2017,10,Jaffna,,
2017,10,Puttalam,31.4,106.4
2017,10,Gampaha,44.72,87.2
2017,10,Kaluthara,48.83,95.2
2017,10,Batticaloa,27.18,53.0
2017,10,Meegoda,40.8,106.4
2017,10,Badulla,60.5,100.0
2017,10,Hambanthota,45.0,62.6
2017,10,Monaragala,51.08,94.67
2017,10,Colombo,40.08,108.19
2017,10,Veyangoda,,
2017,10,Anuradapuraya,43.6,85.0
2017,11,Keppetipola,44.85,83.0
2017,11,Kurunegala,62.0,114.75
2017,11,Ampara,51.44,95.21
2017,11,Matale,,
2017,11,Vavuniya,43.04,95.83
2017,11,Mannar,,
2017,11,Trinco,,
2017,11,Matara,53.33,81.67
2017,11,Bandarawela,,
2017,11,Dehiattakandiya,,
2017,11,Nikaweratiya,35.35,65.42
2017,11,Embilipitiya,41.3,76.43
2017,11,Dabulla,37.98,72.0
2017,11,Hanguranketha,69.25,80.44
2017,11,Galle,55.38,102.5
2017,11,Thabuththegama,31.6,54.06
2017,11,Thissamaharama,40.67,57.0
2017,11,Kandy,46.25,88.0
2017,11,Polonnaruwa,36.47,67.5
2017,11,Galenbidunuwewa,,
2017,11,Kilinochchi,,
2017,11,Kegalle,45.39,84.0
2017,11,Nuwara Eliya,53.0,89.5
2017,11,Rathnapura,52.0,63.5
2017,11,Mullathivu,,
2017,11,Jaffna,,
2017,11,Puttalam,30.75,92.0
2017,11,Gampaha,52.41,97.0
2017,11,Kaluthara,43.22,80.0
2017,11,Batticaloa,26.11,48.33
2017,11,Meegoda,45.5,101.0
2017,11,Badulla,53.5,102.0
2017,11,Hambanthota,39.75,55.0
2017,11,Monaragala,65.42,101.67
2017,11,Colombo,37.71,111.84
2017,11,Veyangoda,,
2017,11,Anuradapuraya,41.06,76.0
2017,12,Keppetipola,50.63,92.0
2017,12,Kurunegala,49.53,90.0
2017,12,Ampara,60.54,110.0
2017,12,Matale,,
2017,12,Vavuniya,51.67,102.0
2017,12,Mannar,,
2017,12,Trinco,,
2017,12,Matara,76.67,116.67
2017,12,Bandarawela,,
2017,12,Dehiattakandiya,,
2017,12,Nikaweratiya,41.83,76.0
2017,12,Embilipitiya,69.45,126.19
2017,12,Dabulla,46.0,84.5
2017,12,Hanguranketha,84.69,107.69
2017,12,Galle,62.26,113.13
2017,12,Thabuththegama,39.85,65.94
2017,12,Thissamaharama,44.0,70.5
2017,12,Kandy,54.25,89.0
2017,12,Polonnaruwa,44.99,81.75
2017,12,Galenbidunuwewa,,
2017,12,Kilinochchi,,
2017,12,Kegalle,48.43,88.0
2017,12,Nuwara Eliya,53.75,90.0
2017,12,Rathnapura,,
2017,12,Mullathivu,,
2017,12,Jaffna,,
2017,12,Puttalam,34.25,114.0
2017,12,Gampaha,58.89,107.0
2017,12,Kaluthara,62.74,114.0
2017,12,Batticaloa,,
2017,12,Meegoda,56.0,110.0
2017,12,Badulla,61.25,98.0
2017,12,Hambanthota,43.0,62.0
2017,12,Monaragala,70.0,115.0
2017,12,Colombo,55.8,127.52
2017,12,Veyangoda,,
2017,12,Anuradapuraya,60.54,110.0
2018,1,Keppetipola,42.01,81.2
2018,1,Kurunegala,45.26,87.5
2018,1,Ampara,57.77,111.67
2018,1,Matale,,
2018,1,Vavuniya,64.2,101.6
2018,1,Mannar,,
2018,1,Trinco,,
2018,1,Matara,73.2,117.0
2018,1,Bandarawela,,
2018,1,Dehiattakandiya,36.12,69.83
2018,1,Nikaweratiya,48.42,93.6
2018,1,Embilipitiya,54.1,104.57
2018,1,Dabulla,44.04,84.4
2018,1,Hanguranketha,52.75,76.45
2018,1,Galle,55.35,107.0
2018,1,Thabuththegama,45.2,79.25
2018,1,Thissamaharama,60.6,87.2
2018,1,Kandy,50.6,85.6
2018,1,Polonnaruwa,38.49,74.4
2018,1,Galenbidunuwewa,,
2018,1,Kilinochchi,,
2018,1,Kegalle,47.18,91.2
2018,1,Nuwara Eliya,50.8,91.6
2018,1,Rathnapura,,
2018,1,Mullathivu,,
2018,1,Jaffna,36.6,164.0
2018,1,Puttalam,44.4,104.0
2018,1,Gampaha,58.35,112.8
2018,1,Kaluthara,50.49,97.6
2018,1,Batticaloa,,
2018,1,Meegoda,57.27,116.6
2018,1,Badulla,69.0,112.0
2018,1,Hambanthota,52.4,68.8
2018,1,Monaragala,71.33,110.67
2018,1,Colombo,50.25,121.37
2018,1,Veyangoda,,
2018,1,Anuradapuraya,53.39,103.2
2018,2,Keppetipola,41.55,72.5
2018,2,Kurunegala,47.76,83.33
2018,2,Ampara,64.0,111.67
2018,2,Matale,,
2018,2,Vavuniya,41.04,79.67
2018,2,Mannar,,
2018,2,Trinco,,
2018,2,Matara,65.83,90.0
2018,2,Bandarawela,,
2018,2,Dehiattakandiya,39.73,69.33
2018,2,Nikaweratiya,44.13,77.0
2018,2,Embilipitiya,53.01,92.5
2018,2,Dabulla,44.75,83.5
2018,2,Hanguranketha,89.44,76.56
2018,2,Galle,57.67,100.63
2018,2,Thabuththegama,39.5,73.75
2018,2,Thissamaharama,55.25,85.5
2018,2,Kandy,53.75,80.0
2018,2,Polonnaruwa,39.83,69.5
2018,2,Galenbidunuwewa,,
2018,2,Kilinochchi,,
2018,2,Kegalle,55.02,96.0
2018,2,Nuwara Eliya,54.25,106.0
2018,2,Rathnapura,,
2018,2,Mullathivu,,
2018,2,Jaffna,,
2018,2,Puttalam,42.0,103.0
2018,2,Gampaha,59.31,103.5
